Date,mean_prec,mean_pet,mean_temp
1979-01-01,0.07604924338909089,1.1727859237536653,-1.6601676363636175
1979-01-02,0.0048878856130909094,1.1727859237536653,-1.9046887272727087
1979-01-03,0.01738059303272727,1.1727859237536653,-1.3457212727272567
1979-01-04,0.0031979251112727275,1.1727859237536653,0.24238927272729557
1979-01-05,0.01141613714181818,1.1727859237536653,0.5742618181818392
1979-01-06,0.0,1.1727859237536653,1.8888145454545688
1979-01-07,0.0574413216,1.1727859237536653,1.8341223636363886
1979-01-08,0.0010919744290909092,1.1727859237536653,0.8874456363636568
1979-01-09,0.04195608408872727,1.1727859237536653,0.031508909090928225
1979-01-10,1.5203936674909087,1.1727859237536653,0.7379416363636572
1979-01-11,1.4674789147636365,1.1727859237536653,-2.2359699999999747
1979-01-12,0.28101348279272725,1.1727859237536653,-2.6146739999999773
1979-01-13,0.44002892836363633,1.1727859237536653,-3.242089272727251
1979-01-14,0.02583750910254545,1.1727859237536653,-5.45548618181816
1979-01-15,0.0,1.1727859237536653,-4.888388181818163
1979-01-16,0.0,1.1727859237536653,-3.5182161818181603
1979-01-17,0.0,1.1727859237536653,-1.953617636363611
1979-01-18,0.0,1.1727859237536653,-4.4141092727272495
1979-01-19,0.0,1.1727859237536653,-2.418948727272706
1979-01-20,0.0,1.1727859237536653,-1.2043761818181618
1979-01-21,0.06858663805090909,1.1727859237536653,-1.7965012727272478
1979-01-22,0.0,1.1727859237536653,-1.6989641818181584
1979-01-23,0.045972123543272715,1.1727859237536653,-1.2692234545454313
1979-01-24,0.0,1.1727859237536653,0.012501090909117094
1979-01-25,0.008644797578181818,1.1727859237536653,0.10613581818183568
1979-01-26,0.02479041942109091,1.1727859237536653,0.711232363636384
1979-01-27,0.18201695371636362,1.1727859237536653,0.6461665454545679
1979-01-28,0.07491666425890908,1.1727859237536653,0.1747120000000233
1979-01-29,1.2090048868363643,1.1727859237536653,-3.2837143636363417
1979-01-30,2.7935413601454537,1.1727859237536653,-6.619665090909067
1979-01-31,0.003002929658181818,1.1727859237536653,-5.387202727272707
1979-02-01,0.008098810341818181,1.7420129870129872,-4.777081272727254
1979-02-02,0.012739701687272726,1.7420129870129872,-2.7631627272727077
1979-02-03,0.0351002823010909,1.7420129870129872,0.00860018181820537
1979-02-04,0.7121104016727271,1.7420129870129872,-1.7327823636363404
1979-02-05,0.004003906245818182,1.7420129870129872,-0.2677758181817973
1979-02-06,0.03791491219636363,1.7420129870129872,-0.0030789090908900684
1979-02-07,0.0,1.7420129870129872,2.3606585454545645
1979-02-08,0.3763657367127275,1.7420129870129872,-0.03846890909088953
1979-02-09,0.35877598695272744,1.7420129870129872,0.14734381818183961
1979-02-10,0.0,1.7420129870129872,0.5082023636363902
1979-02-11,0.025218542766545452,1.7420129870129872,1.1925207272727438
1979-02-12,0.05188698504872727,1.7420129870129872,3.0421543636363855
1979-02-13,1.0202247181090907,1.7420129870129872,3.5356812727272975
1979-02-14,1.289150492727273,1.7420129870129872,2.8131047272727496
1979-02-15,0.047045898305454546,1.7420129870129872,2.864843272727294
1979-02-16,0.04926017980363637,1.7420129870129872,4.473191090909115
1979-02-17,0.2349477990545454,1.7420129870129872,4.186351090909113
1979-02-18,0.2298985665163637,1.7420129870129872,4.912139636363659
1979-02-19,0.04218054565090909,1.7420129870129872,4.781522909090933
1979-02-20,0.18002977042909105,1.7420129870129872,6.547266363636383
1979-02-21,5.25407832218182,1.7420129870129872,6.768241454545478
1979-02-22,8.032818536727271,1.7420129870129872,2.1221132727272933
1979-02-23,1.2841795474909095,1.7420129870129872,2.5319705454545627
1979-02-24,2.0127600466909086,1.7420129870129872,0.46966745454547604
1979-02-25,0.03910701235636364,1.7420129870129872,1.3031781818182027
1979-02-26,0.018745561047272725,1.7420129870129872,2.4515020000000183
1979-02-27,0.055147771169454546,1.7420129870129872,3.554211818181843
1979-02-28,0.1365377350472727,1.7420129870129872,-0.08038890909088794
1979-03-01,0.15352001633454543,2.1641642228739,-1.0949085454545247
1979-03-02,0.001850289970909091,2.1641642228739,1.5182592727272932
1979-03-03,0.05678267031272727,2.1641642228739,4.028352181818201
1979-03-04,0.0,2.1641642228739,4.788213454545477
1979-03-05,0.04238074090909091,2.1641642228739,5.27889581818184
1979-03-06,0.0045550934094545446,2.1641642228739,5.450932909090927
1979-03-07,0.13015945806545448,2.1641642228739,7.1073020000000176
1979-03-08,0.09305863675636361,2.1641642228739,5.490089636363654
1979-03-09,2.420697873599999,2.1641642228739,3.9951841818181997
1979-03-10,6.544847467636366,2.1641642228739,0.11848436363638629
1979-03-11,1.7715933717818184,2.1641642228739,-1.200024727272704
1979-03-12,0.05026780150254545,2.1641642228739,0.8547167272727455
1979-03-13,0.5620606669090908,2.1641642228739,1.8011020000000206
1979-03-14,0.053855230978909076,2.1641642228739,2.2347538181818396
1979-03-15,0.09891662738618182,2.1641642228739,2.077407272727298
1979-03-16,0.11576974521599998,2.1641642228739,4.151532363636385
1979-03-17,0.09211691995636366,2.1641642228739,2.7617887272727497
1979-03-18,0.1762119136363638,2.1641642228739,3.0030425454545666
1979-03-19,0.045724080283636365,2.1641642228739,5.566980363636382
1979-03-20,0.015287642029090907,2.1641642228739,7.052758909090928
1979-03-21,0.06502219532509089,2.1641642228739,7.165032000000023
1979-03-22,0.29133593412218184,2.1641642228739,0.6903009090909326
1979-03-23,0.037491321613090905,2.1641642228739,1.3220705454545665
1979-03-24,0.003570583112727273,2.1641642228739,4.36508709090911
1979-03-25,0.00600585936,2.1641642228739,7.952430363636386
