iter,loss,time
1,0.41472144265577365,2025-05-07T22:02:13.006
2,0.40817494074922117,2025-05-07T22:02:53.095
3,0.4026294081019195,2025-05-07T22:03:22.819
4,0.3916775017109997,2025-05-07T22:03:52.508
5,0.38511858793998577,2025-05-07T22:04:25.027
6,0.37837826621558956,2025-05-07T22:04:54.563
7,0.3706995223598883,2025-05-07T22:05:23.319
8,0.3642587692077988,2025-05-07T22:05:49.512
9,0.35704703092809353,2025-05-07T22:06:19.141
10,0.34999186481965694,2025-05-07T22:06:44.431
11,0.3407680269448973,2025-05-07T22:07:11.526
12,0.3360375008368944,2025-05-07T22:07:39.437
13,0.32801761591337714,2025-05-07T22:08:04.176
14,0.32113778590984277,2025-05-07T22:08:31.942
15,0.31513240582293695,2025-05-07T22:09:00.002
16,0.30858496531379154,2025-05-07T22:09:28.295
17,0.3026623475755558,2025-05-07T22:09:53.982
18,0.29549729592019214,2025-05-07T22:10:23.92
19,0.289421314312161,2025-05-07T22:10:50.474
20,0.28249806288357326,2025-05-07T22:11:18.185
21,0.2765964542882167,2025-05-07T22:11:45.545
22,0.27163247188118156,2025-05-07T22:12:10.625
23,0.2644647057922019,2025-05-07T22:12:36.594
24,0.259332560711556,2025-05-07T22:12:59.52
25,0.2540898162493165,2025-05-07T22:13:29.951
26,0.2503120280124293,2025-05-07T22:13:57.106
27,0.2427705141563187,2025-05-07T22:14:26.081
28,0.23858933767013749,2025-05-07T22:15:00.456
29,0.23263972827095475,2025-05-07T22:15:33.078
30,0.22890107948725796,2025-05-07T22:16:05.44
31,0.22219563737130543,2025-05-07T22:16:34.88
32,0.219142797023095,2025-05-07T22:17:15.647
33,0.2151319844011325,2025-05-07T22:17:53.164
34,0.21066174809061716,2025-05-07T22:18:27.361
35,0.20661407727600675,2025-05-07T22:18:54.878
36,0.20272357371096375,2025-05-07T22:19:20.809
37,0.1997189862966115,2025-05-07T22:19:52.111
38,0.1955925003297644,2025-05-07T22:20:17.273
39,0.19290305335367233,2025-05-07T22:20:45.749
40,0.18956703948238285,2025-05-07T22:21:10.467
41,0.1865906169412785,2025-05-07T22:21:37.176
42,0.1836543277658732,2025-05-07T22:22:00.121
43,0.18230800698059396,2025-05-07T22:22:25.559
44,0.17877946950089718,2025-05-07T22:22:51.184
45,0.17602582795026442,2025-05-07T22:23:16.427
46,0.1729723492203624,2025-05-07T22:23:42.63
47,0.1722213031791807,2025-05-07T22:24:10.471
48,0.17080036856787223,2025-05-07T22:24:36.622
49,0.16856732984811548,2025-05-07T22:25:02.035
50,0.16741267923806674,2025-05-07T22:25:29.769
